Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
accident,New York State Department of Transportation Region 3,I-81,Northbound,before Syracuse,Onondaga,NY,2019-03-08 10:40:24,03/08/2019 11:30:26 AM,Accident on I-81 northbound before Exit 23 - NY 370 East; Park Street; Hiawatha Boulevard (Syracuse) left and center lanes closed,New York State Department of Transportation Region 3,43.068298,-76.166702
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-03-08 08:09:23,03/08/2019 08:44:21 AM,Accident on I-81 southbound before I-690 East (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.049198,-76.142601
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-03-07 07:35:18,03/07/2019 08:07:20 AM,Accident on I-690 eastbound before I-81 Southbound (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.0513,-76.149002
accident,New York State Department of Transportation Region 3,I-81,Northbound,before Syracuse,Onondaga,NY,2019-03-06 15:23:17,03/06/2019 03:24:16 PM,Accident on I-81 northbound before Exit 18 - Adams Street; Harrison Street (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.039398,-76.142097
incident,New York State Department of Transportation Region 3,NY 370,Both directions,between Lysander,Onondaga,NY,2019-03-06 12:27:17,03/06/2019 01:45:17 PM,Accident on NY 370 both directions between Hicks Road (Lysander) and Collington Pointe Way (Lysander) all lanes closed,New York State Department of Transportation Region 3,43.1439,-76.2824
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between De Witt,Onondaga,NY,2019-03-06 12:04:16,03/06/2019 12:52:17 PM,"Accident on I-90 - NYS Thruway eastbound between Exit 34A (I-90) - East Syracuse (I-481) and Exit 34 (I-90) - Canastota (Rte 13) starting 12:01 PM, 03/06/2019 until further notice. [CARS CAD-190650215]",New York State Thruway-State Wide Operations Center - Albany,43.094915,-76.043357
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-03-06 11:17:17,03/06/2019 11:39:17 AM,Accident on I-690 eastbound before Exit 8 - Hiawatha Boulevard (Syracuse) left and center lanes closed,New York State Department of Transportation Region 3,43.059398,-76.185501
delays,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,Van Buren,Onondaga,NY,2019-03-06 10:51:17,03/06/2019 11:54:16 AM,"Delays on I-90 - NYS Thruway westbound Exit 39 (I-90) - State Fair (I-690) (Van Buren) to Exit 40 (I-90) - Weedsport (Rte 34) (Brutus) Slow traffic, stop and go traffic, delays I-90 - NYS Thruway westbound from milepost 291.5 to 293.5",New York State Thruway-State Wide Operations Center - Albany,43.10749,-76.287017
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-03-06 10:43:17,03/06/2019 11:54:16 AM,Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) (Van Buren) and Exit 40 (I-90) - Weedsport (Rte 34) (Brutus) 1 left lane blocked,New York State Thruway-State Wide Operations Center - Albany,43.061305,-76.564506
accident,New York State Department of Transportation Region 3,I-690,Eastbound,just past Geddes,Onondaga,NY,2019-03-06 08:27:15,03/06/2019 09:33:17 AM,Accident on I-690 eastbound just past Exit 4 - John Glenn Boulevard (Geddes) left lane closed,New York State Department of Transportation Region 3,43.111598,-76.2649
accident,New York State Department of Transportation Region 3,I-81,Northbound,at Syracuse,Onondaga,NY,2019-03-06 04:43:14,03/06/2019 05:11:13 AM,Accident on I-81 northbound at I-690 West (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.051399,-76.145797
accident,New York State Department of Transportation Region 3,NY 370,Eastbound,between Salina,Onondaga,NY,2019-03-05 21:51:13,03/05/2019 10:29:14 PM,Accident on NY 370 eastbound between Old Liverpool Road (Salina) and Park Street; Ramp (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.078601,-76.177902
accident,New York State Department of Transportation Region 3,I-481,Northbound,at De Witt,Onondaga,NY,2019-02-28 11:45:20,02/28/2019 12:10:20 PM,Accident on I-481 northbound at Exit 3W - NY 5; NY 92 (De Witt) left lane closed,New York State Department of Transportation Region 3,43.0344,-76.058601
accident,New York State Department of Transportation Region 3,I-481,Southbound,just past De Witt,Onondaga,NY,2019-02-28 06:39:17,02/28/2019 07:18:18 AM,Accident on I-481 southbound just past Exit 4 - I-690 (De Witt) left lane closed,New York State Department of Transportation Region 3,43.0517,-76.049896
disabled vehicle,New York State Department of Transportation Region 3,I-81,Northbound,just past Syracuse,Onondaga,NY,2019-02-28 03:59:20,02/28/2019 04:10:17 AM,Disabled vehicle on I-81 northbound just past Exit 23 - NY 370 East; Park Street; Hiawatha Boulevard (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.068298,-76.166702
accident,New York State Department of Transportation Region 3,I-81,Northbound,at Syracuse,Onondaga,NY,2019-02-28 01:49:17,02/28/2019 02:23:28 AM,Accident on I-81 northbound at Exit 17 - South Salina Street; Brighton Avenue; State Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.02,-76.140296
accident,New York State Department of Transportation Region 3,I-81,Northbound,at Syracuse,Onondaga,NY,2019-02-27 23:13:17,02/28/2019 12:20:16 AM,Accident on I-81 northbound at Exit 18 - Adams Street; Harrison Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.039398,-76.142097
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between De Witt,Onondaga,NY,2019-02-27 23:00:16,02/28/2019 12:10:30 AM,"Accident, right lane blocked on I-90 - NYS Thruway westbound between Exit 35 (I-90) - Syracuse (Rte 298) and Exit 36 (I-90) - Syracuse (I-81) starting 11:01 PM, 02/27/2019 until further notice. [CARS CAD-190580482]",New York State Thruway-State Wide Operations Center - Albany,43.094499,-76.167277
disabled vehicle,New York State Department of Transportation Region 3,I-690,Westbound,before Geddes,Onondaga,NY,2019-02-27 22:59:16,02/27/2019 11:36:15 PM,Disabled vehicle on I-690 westbound before Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) left lane closed,New York State Department of Transportation Region 3,43.0764,-76.214302
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between De Witt,Onondaga,NY,2019-02-27 22:09:16,02/27/2019 11:00:16 PM,"Accident on I-90 - NYS Thruway westbound between Exit 35 (I-90) - Syracuse (Rte 298) and Exit 36 (I-90) - Syracuse (I-81) starting 10:07 PM, 02/27/2019 until further notice. [CARS CAD-190580454]",New York State Thruway-State Wide Operations Center - Albany,43.092041,-76.158203
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Salina,Onondaga,NY,2019-02-27 21:45:22,,"Accident on I-90 - NYS Thruway westbound between Exit 36 (I-90) - Syracuse (I-81) and Exit 37 (I-90) - Electronics Parkway starting 9:42 PM, 02/27/2019 until further notice. [CARS CAD-190580458]",New York State Thruway-State Wide Operations Center - Albany,43.102135,-76.181279
accident,New York State Department of Transportation Region 3,I-481,Northbound,just past Cicero,Onondaga,NY,2019-02-27 19:54:15,02/27/2019 08:15:16 PM,Accident on I-481 northbound just past Exit 9N; I-81 N (Cicero) right lane closed,New York State Department of Transportation Region 3,43.140598,-76.103401
accident,New York State Department of Transportation Region 3,I-81,Northbound,just past Syracuse,Onondaga,NY,2019-02-27 19:12:24,02/27/2019 08:01:16 PM,Accident on I-81 northbound just past Exit 22 - NY 298; Court Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.062301,-76.157798
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between De Witt,Onondaga,NY,2019-02-27 18:42:15,02/27/2019 07:30:15 PM,"Accident on I-90 - NYS Thruway westbound between Exit 34A (I-90) - East Syracuse (I-481) and Exit 35 (I-90) - Syracuse (Rte 298) starting 6:39 PM, 02/27/2019 until further notice. [CARS CAD-190580366]",New York State Thruway-State Wide Operations Center - Albany,43.092897,-76.089742
accident,New York State Department of Transportation Region 3,NY 635,Northbound,area of De Witt,Onondaga,NY,2019-02-27 18:33:16,02/27/2019 07:33:25 PM,Accident on NY 635 northbound area of James Street; NY 290 (De Witt) right lane closed between Northcliffe Rd and James St,New York State Department of Transportation Region 3,43.069599,-76.090499
incident,New York State Department of Transportation Region 3,NY 635,Northbound,area of De Witt,Onondaga,NY,2019-02-27 18:22:16,02/27/2019 06:24:15 PM,Accident on NY 635 northbound area of James Street; NY 290 (De Witt) all lanes closed between Northcliffe Rd and James St,New York State Department of Transportation Region 3,43.069599,-76.090499
accident road closed,New York State Department of Transportation Region 4,I-390,Northbound,between North Dansville,Livingston,NY,2019-02-27 16:46:15,02/27/2019 05:04:15 PM,Accident Road Closed on I-390 northbound between Exit 4 - NY 36 (North Dansville) and Exit 5 - McWhorter Road (North Dansville) 4 all lanes of 4 lanes blocked,New York State Department of Transportation Region 4,42.549999,-77.700897
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-02-27 16:36:15,02/27/2019 05:48:15 PM,"Accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 4:33 PM, 02/27/2019 until further notice. [CARS CAD-190580290]",New York State Thruway-State Wide Operations Center - Albany,42.967682,-76.852361
accident,New York State Department of Transportation Region 3,I-81,Southbound,at La Fayette,Onondaga,NY,2019-02-27 12:51:15,02/27/2019 12:55:28 PM,Accident on I-81 southbound at Exit 15 - US 11; US 20; LaFayette (La Fayette) right lane closed,New York State Department of Transportation Region 3,42.894401,-76.110603
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-02-27 12:26:15,02/27/2019 12:51:15 PM,Accident on I-690 eastbound before Exit 8 - Hiawatha Boulevard (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.059398,-76.185501
incident,New York State Department of Transportation Region 3,NY 38A,Both directions,area of Niles,Cayuga,NY,2019-02-27 10:51:15,02/27/2019 11:38:14 AM,Cargo spill on NY 38A both directions area of Town of Niles; Town of Moravia Line (Niles) all lanes closed Between Buckley Hill Road and Globe Road,New York State Department of Transportation Region 3,42.781501,-76.381797
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-02-26 19:42:22,02/26/2019 08:27:13 PM,Accident on I-81 southbound before Exit 17 - South Salina Street; Brighton Avenue; State Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.02,-76.140296
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Geddes,Onondaga,NY,2019-02-26 08:55:13,02/26/2019 10:10:13 AM,Accident on I-690 eastbound before Exit 4 - John Glenn Boulevard (Geddes) left lane closed,New York State Department of Transportation Region 3,43.111598,-76.2649
incident,New York State Department of Transportation Region 3,NY 41A,Both directions,area of Sempronius,Cayuga,NY,2019-02-26 07:33:21,02/26/2019 09:41:13 AM,Accident on NY 41A both directions area of Town of Niles; Town of Sempronius Line (Sempronius) closed between Sayles Corners Road and New Hope Road,New York State Department of Transportation Region 3,42.7831,-76.342498
disabled tractor trailer,New York State Department of Transportation Region 3,I-81,Northbound,before Syracuse,Onondaga,NY,2019-02-26 06:39:10,02/26/2019 06:58:10 AM,Disabled tractor trailer on I-81 northbound before Exit 18 - Adams Street; Harrison Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.039398,-76.142097
disabled vehicle,New York State Department of Transportation Region 3,I-481,Southbound,before De Witt,Onondaga,NY,2019-02-26 05:20:09,02/26/2019 06:04:10 AM,Disabled vehicle on I-481 southbound before Exit 5W - Kirkville Road; CR 53 (De Witt) right lane closed,New York State Department of Transportation Region 3,43.078899,-76.053398
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between Salina,Onondaga,NY,2019-02-25 13:40:36,02/25/2019 02:37:37 PM,"Accident on I-90 - NYS Thruway eastbound between Exit 36 (I-90) - Syracuse (I-81) and Exit 35 (I-90) - Syracuse (Rte 298) starting 1:38 PM, 02/25/2019 until further notice. [CARS CAD-190560221]",New York State Thruway-State Wide Operations Center - Albany,43.092706,-76.162115
incident,New York State Department of Transportation Region 3,NY 38,Both directions,south of Moravia,Cayuga,NY,2019-02-25 10:38:38,02/25/2019 12:56:36 PM,Downed tree and Downed wires on NY 38 both directions south of East Cayuga Street; NY 38A (Moravia) all lanes closed Between Adams Street and Aurora Street,New York State Department of Transportation Region 3,42.713401,-76.421699
incident,New York State Department of Transportation Region 3,I-690,Westbound,ramp to Syracuse,Onondaga,NY,2019-02-25 00:11:34,02/25/2019 12:45:33 AM,Accident on I-690 westbound ramp to I-81 Northbound (Syracuse) entrance ramp closed,New York State Department of Transportation Region 3,43.0512,-76.145698
disabled vehicle,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-02-15 08:27:00,02/15/2019 09:25:59 AM,Disabled vehicle on I-81 southbound before Exit 23A and Exit 23B and Exit 22; Hiawatha Boulevard; Carousel Center Drive; Bear Street; NY 298 to I-690 West (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.074501,-76.170799
disabled vehicle,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-02-15 06:54:58,02/15/2019 08:02:58 AM,Disabled vehicle on I-81 southbound before Exit 21 - Spencer Street; Catawba Street (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.0601,-76.155296
incident,New York State Department of Transportation Region 3,I-81,Northbound,ramp from Syracuse,Onondaga,NY,2019-02-14 14:20:01,02/14/2019 04:26:58 PM,Accident on I-81 northbound ramp from Exit 16A - I-481 (Syracuse) all lanes closed,New York State Department of Transportation Region 3,43.003799,-76.133598
disabled vehicle,New York State Department of Transportation Region 3,I-81,Northbound,ramp from Syracuse,Onondaga,NY,2019-02-14 14:19:00,02/14/2019 03:00:05 PM,Disabled vehicle on I-81 northbound ramp from Almond Street; NY 92 (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.0475,-76.142501
incident,New York State Department of Transportation Region 3,I-481,Southbound,at Syracuse,Onondaga,NY,2019-02-14 14:01:00,02/14/2019 04:26:58 PM,Accident on I-481 southbound at START ROUTE I-481; I-81 (Syracuse) exit ramp closed to I-81 Northbound,New York State Department of Transportation Region 3,43.007198,-76.133903
accident,New York State Department of Transportation Region 3,I-81,Northbound,just past Syracuse,Onondaga,NY,2019-02-14 13:26:59,02/14/2019 04:25:59 PM,Accident on I-81 northbound just past Exit 16A - I-481 (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.003799,-76.133598
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between De Witt,Onondaga,NY,2019-02-13 23:07:36,02/13/2019 11:19:19 PM,"Accident on I-90 - NYS Thruway eastbound between Exit 34A (I-90) - East Syracuse (I-481) and Exit 34 (I-90) - Canastota (Rte 13) starting 11:03 PM, 02/13/2019 until further notice. [CARS CAD-190440406]",New York State Thruway-State Wide Operations Center - Albany,43.093475,-75.795666
accident,New York State Department of Transportation Region 3,I-690,Westbound,just past Syracuse,Onondaga,NY,2019-02-13 20:59:19,02/13/2019 09:42:25 PM,Accident on I-690 westbound just past Exit 10 - Geddes Street (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.0559,-76.170402
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between De Witt,Onondaga,NY,2019-02-13 08:45:17,02/13/2019 09:15:14 AM,"Accident on I-90 - NYS Thruway eastbound between Exit 35 (I-90) - Syracuse (Rte 298) and Exit 34A (I-90) - East Syracuse (I-481) starting 8:43 AM, 02/13/2019 until further notice. [CARS CAD-190440082]",New York State Thruway-State Wide Operations Center - Albany,43.092897,-76.089742
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between Van Buren,Onondaga,NY,2019-02-13 07:54:36,02/13/2019 08:48:25 AM,"Accident on I-90 - NYS Thruway eastbound between Exit 39 (I-90) - State Fair (I-690) and Exit 38 (I-90) - Liverpool (Rte 57) starting 7:53 AM, 02/13/2019 until further notice. [CARS CAD-190440056]",New York State Thruway-State Wide Operations Center - Albany,43.117223,-76.218379
accident,New York State Department of Transportation Region 3,I-81,Northbound,just past Syracuse,Onondaga,NY,2019-02-13 04:03:24,02/13/2019 04:55:19 AM,Accident on I-81 northbound just past Exit 23 - NY 370 East; Park Street; Hiawatha Boulevard (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.068298,-76.166702
disabled vehicle,New York State Department of Transportation Region 3,I-690,Westbound,just past Geddes,Onondaga,NY,2019-02-13 00:32:25,02/13/2019 02:02:29 AM,Disabled vehicle on I-690 westbound just past Exit 6 - NY 695 (Geddes) right lane closed,New York State Department of Transportation Region 3,43.084999,-76.228996
accident,New York State Department of Transportation Region 3,I-690,Westbound,before Geddes,Onondaga,NY,2019-02-12 20:01:58,02/12/2019 08:40:40 PM,Accident on I-690 westbound before Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) left lane closed,New York State Department of Transportation Region 3,43.0764,-76.214302
incident,New York State Department of Transportation Region 3,NY 31,Both directions,area of Elbridge,Onondaga,NY,2019-02-12 16:41:57,02/12/2019 06:33:23 PM,Overturned tractor trailer on NY 31 both directions area of Town of Brutus; Town of Elbridge Line (Elbridge) all lanes closed between Pump Rd and Bonta Bridge Rd,New York State Department of Transportation Region 3,43.066501,-76.496597
accident,New York State Department of Transportation Region 3,I-81,Southbound,at Onondaga,Onondaga,NY,2019-02-12 14:59:03,02/12/2019 03:40:02 PM,Accident on I-81 southbound at Exit 16 - US 11; Nedrow; Onondaga Nation (Onondaga) left lane closed,New York State Department of Transportation Region 3,42.952499,-76.138298
incident,New York State Department of Transportation Region 3,I-690,Westbound,ramp to Geddes,Onondaga,NY,2019-02-12 12:08:14,02/12/2019 01:19:13 PM,Accident on I-690 westbound ramp to Exit 6 - NY 695 (Geddes) partial ramp closed,New York State Department of Transportation Region 3,43.084999,-76.228996
accident,New York State Department of Transportation Region 4,I-390,Northbound,area of North Dansville,Livingston,NY,2019-02-12 12:00:05,02/12/2019 01:59:59 PM,Accident on I-390 northbound area of Exit 5 - McWhorter Road (North Dansville) reduced to one lane due to a Tractor Trailer blocking,New York State Department of Transportation Region 4,42.565498,-77.714996
incident,New York State Department of Transportation Region 3,I-81,Northbound,ramp to Salina,Onondaga,NY,2019-02-12 11:30:01,02/12/2019 11:58:02 AM,Disabled tractor trailer on I-81 northbound ramp to Exit 25A - I-90 (Salina) exit ramp closed,New York State Department of Transportation Region 3,43.093898,-76.162902
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-02-12 11:06:02,02/12/2019 11:56:59 AM,"Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 11:04 AM, 02/12/2019 until further notice. [CARS CAD-190430148]",New York State Thruway-State Wide Operations Center - Albany,43.061306,-76.564506
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between Brutus,Cayuga,NY,2019-02-12 09:41:56,02/12/2019 11:06:02 AM,"Accident on I-90 - NYS Thruway eastbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 39 (I-90) - State Fair (I-690) starting 9:41 AM, 02/12/2019 until further notice. [CARS CAD-190430102]",New York State Thruway-State Wide Operations Center - Albany,43.085425,-76.422474
disabled vehicle,New York State Department of Transportation Region 3,I-481,Northbound,before De Witt,Onondaga,NY,2019-02-11 12:35:58,02/11/2019 12:50:57 PM,Disabled vehicle on I-481 northbound before Exit 6 - I-90 (De Witt) right lane closed,New York State Department of Transportation Region 3,43.095798,-76.053497
disabled vehicle,New York State Department of Transportation Region 3,I-81,Southbound,just past Syracuse,Onondaga,NY,2019-02-11 12:34:56,02/11/2019 01:02:57 PM,Disabled vehicle on I-81 southbound just past Exit 23 - NY 370 East; Park Street; Hiawatha Boulevard (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.068298,-76.166702
accident,New York State Department of Transportation Region 3,NY 635,Northbound,at De Witt,Onondaga,NY,2019-02-09 15:13:19,02/09/2019 04:09:19 PM,Accident on NY 635 northbound at James Street; NY 290 (De Witt) center lane closed,New York State Department of Transportation Region 3,43.069599,-76.090499
accident,New York State Department of Transportation Region 3,I-690,Westbound,before De Witt,Onondaga,NY,2019-02-09 10:51:19,02/09/2019 11:35:21 AM,Accident on I-690 westbound before Exit 17 - Bridge Street (De Witt) right lane closed,New York State Department of Transportation Region 3,43.057098,-76.067001
incident,New York State Department of Transportation Region 3,I-690,Eastbound,ramp to Syracuse,Onondaga,NY,2019-02-09 08:20:18,02/09/2019 08:41:19 AM,Accident on I-690 eastbound ramp to I-81 Southbound (Syracuse) all lanes closed,New York State Department of Transportation Region 3,43.0513,-76.149002
incident,New York State Department of Transportation Region 3,I-690,Eastbound,at Geddes,Onondaga,NY,2019-02-09 06:37:18,02/09/2019 07:15:17 AM,Accident on I-690 eastbound at Exit 4 - John Glenn Boulevard (Geddes) all lanes closed,New York State Department of Transportation Region 3,43.111598,-76.2649
debris spill,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-02-08 09:10:19,02/08/2019 09:52:19 AM,"Debris on roadway on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 9:10 AM, 02/08/2019 until further notice. [CARS CAD-190390079]",New York State Thruway-State Wide Operations Center - Albany,43.095988,-76.311046
incident,New York State Department of Transportation Region 4,NY 15,Both directions,between Springwater,Livingston,NY,2019-02-08 01:00:19,02/08/2019 04:36:18 AM,Downed tree on NY 15 both directions between Lawrence Gull Rd (Springwater) and Hudson Rd (Springwater) closed,New York State Department of Transportation Region 4,42.612754,-77.601993
incident,New York State Department of Transportation Region 3,I-81,Northbound,ramp to Syracuse,Onondaga,NY,2019-02-07 23:48:17,02/08/2019 12:40:19 AM,Accident on I-81 northbound ramp to I-690 West (Syracuse) exit ramp closed,New York State Department of Transportation Region 3,43.051399,-76.145797
debris spill,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-02-07 14:40:19,02/07/2019 02:59:27 PM,"Debris on roadway on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 2:38 PM, 02/07/2019 until further notice. [CARS CAD-190380216]",New York State Thruway-State Wide Operations Center - Albany,42.967682,-76.852361
incident,New York State Department of Transportation Region 3,NY 104A,Both directions,between Sterling,Cayuga,NY,2019-02-07 07:09:18,02/07/2019 08:54:18 AM,Accident on NY 104A both directions between Old State Road; CR 122 (Sterling) and Parkhurst Road (Oswego) all lanes closed,New York State Department of Transportation Region 3,43.320899,-76.687698
accident,New York State Department of Transportation Region 3,I-690,Westbound,between Geddes,Onondaga,NY,2019-02-06 01:59:19,02/06/2019 02:35:17 AM,Accident on I-690 westbound between Exit 4 - John Glenn Boulevard (Geddes) and Exit 3 - Farrell Road (Van Buren) left lane closed,New York State Department of Transportation Region 3,43.111598,-76.2649
accident,New York State Department of Transportation Region 3,I-81,Northbound,at Syracuse,Onondaga,NY,2019-02-05 18:28:16,02/05/2019 07:16:18 PM,Accident on I-81 northbound at Exit 22 - NY 298; Court Street (Syracuse) right and center lanes closed,New York State Department of Transportation Region 3,43.062301,-76.157798
incident,New York State Department of Transportation Region 4,NY 258,Both directions,between Groveland,Livingston,NY,2019-02-05 11:59:20,02/08/2019 09:58:19 AM,Flooding on NY 258 both directions between NY 63 North; END ROUTE (Groveland) and Town of Groveland and Town of West Sparta Line; START ROUTE NY 258; Sonyea Road; NY 36; Dansville Mount Morris Road (West Sparta) all lanes closed,New York State Department of Transportation Region 4,42.661399,-77.7667
accident,New York State Department of Transportation Region 3,I-690,Westbound,before Syracuse,Onondaga,NY,2019-02-05 08:05:20,02/05/2019 08:42:30 AM,Accident on I-690 westbound before Exit 11 - West Street (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.054125,-76.153247
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-02-05 06:53:16,02/05/2019 06:59:36 AM,Accident on I-81 southbound before Exit 21 - Spencer Street; Catawba Street (Syracuse) right and center lanes closed,New York State Department of Transportation Region 3,43.0601,-76.155296
accident,New York State Department of Transportation Region 3,I-81,Northbound,before Syracuse,Onondaga,NY,2019-02-04 08:12:16,02/04/2019 08:39:18 AM,Accident on I-81 northbound before Exit 22 - NY 298; Court Street (Syracuse) left and center lanes closed,New York State Department of Transportation Region 3,43.062301,-76.157798
accident,New York State Department of Transportation Region 3,I-81,Southbound,at Salina,Onondaga,NY,2019-02-04 06:54:16,02/04/2019 07:19:15 AM,Accident on I-81 southbound at Exit 27- Syracuse Airport (Salina) left lane closed,New York State Department of Transportation Region 3,43.113201,-76.142501
disabled vehicle,New York State Department of Transportation Region 3,NY 370,Both directions,between Syracuse,Onondaga,NY,2019-02-04 00:07:25,02/04/2019 12:47:18 AM,Disabled vehicle on NY 370 both directions between I-81 (Syracuse) and Old Liverpool Road (Salina) Alternating one way traffic,New York State Department of Transportation Region 3,43.074901,-76.171203
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between De Witt,Onondaga,NY,2019-02-03 08:46:18,02/03/2019 11:10:17 AM,"Accident on I-90 - NYS Thruway eastbound between Exit 34A (I-90) - East Syracuse (I-481) and Exit 34 (I-90) - Canastota (Rte 13) starting 8:43 AM, 02/03/2019 until further notice. [CARS CAD-190340088]",New York State Thruway-State Wide Operations Center - Albany,43.091625,-75.909958
accident,New York State Department of Transportation Region 3,I-81,Northbound,just past Tully,Onondaga,NY,2019-02-03 01:19:38,02/03/2019 01:56:39 AM,Accident on I-81 northbound just past Exit 14 - US 11; NY 80; NY 281; Tully (Tully) left lane closed,New York State Department of Transportation Region 3,42.796298,-76.123298
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between De Witt,Onondaga,NY,2019-02-03 00:00:39,02/03/2019 01:42:39 AM,"Accident on I-90 - NYS Thruway eastbound between Exit 34A (I-90) - East Syracuse (I-481) and Exit 34 (I-90) - Canastota (Rte 13) starting 11:59 PM, 02/02/2019 until further notice. [CARS CAD-190330389]",New York State Thruway-State Wide Operations Center - Albany,43.090735,-75.756658
accident,New York State Department of Transportation Region 3,I-81,Southbound,just past Syracuse,Onondaga,NY,2019-02-02 13:56:39,02/02/2019 01:57:38 PM,Accident on I-81 southbound just past Exit 19 - Salina Street; Clinton Street (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.0524,-76.1502
accident,New York State Department of Transportation Region 3,I-690,Westbound,from De Witt,Onondaga,NY,2019-02-02 08:46:39,02/02/2019 09:39:39 AM,Accident on I-690 westbound from I-481 (De Witt) left lane closed,New York State Department of Transportation Region 3,43.055301,-76.059196
accident,New York State Department of Transportation Region 3,I-690,Eastbound,just past Geddes,Onondaga,NY,2019-02-01 07:54:37,02/01/2019 08:52:38 AM,Accident on I-690 eastbound just past Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) left lane closed,New York State Department of Transportation Region 3,43.0764,-76.214302
